名称,地址,电话,经纬度,城市
宇励叉车液压车维修销售,致富路7号,13166115112,"121.184275,31.169924",上海
叉车电焊电工培训,新北街与新乐路交叉口东60米,13795294252,"121.312392,31.064883",上海
统嘉消防安全学院,叶城路与沪宜公路交叉口西南100米,13816059004,"121.258489,31.367157",上海
叉车培训,南宣公路833号,13321935428;18550578518,"121.697199,31.026581",上海
上海馨达技能培训中心,蕰川路1999弄亿博大厦805室,021-56111052;13681700181,"121.429919,31.382719",上海
考匠特种作业培训中心,莘建路35号4楼,13321981089;15201945553;18121300160,"121.379117,31.107295",上海
职安叉车实操培训基地,松东路301号,13072118898;13795373318,"121.253993,31.019022",上海
上海浦奉职业技能培训,平庄东路922号,18018618938,"121.757619,30.907514",上海
申诚驾校叉车培训审证,秋岚路234号,021-51608769;17891999639;18801670530,"121.594623,31.327558",上海
叉车培训办证审证,外冈镇沪宜公路5686号,13918666984;16621737395,"121.170903,31.370000",上海
叉车培训特种作业证,南芦公路68弄3号,18217012585,"121.714449,31.027247",上海
叉车培训,黄渡镇嘉松北路7518号朱家村路口,13052280507,"121.205570,31.267902",上海
叉车培训电焊培训,上海市宝山区罗溪路715号,13482688364,"121.345466,31.420115",上海
叉车培训起重机培训,罗溪路1300号-1,17269687866,"121.339964,31.432069",上海
鑫海叉车电焊培训,松汇西路1578号,13598382322,"121.206844,31.002335",上海
蒙楚叉车培训办证中心,泥城镇新泐村479号,13651617568,"121.798006,30.908438",上海
叉车电焊培训,封浜地铁站2号口步行320米,13405105949;18721920506,"121.301819,31.267136",上海
上海黄晓云职业技能培训有限公司,四平公路1891号,15021188584,"121.734816,30.879159",上海
上海人众特种作业技能培训,嘉松中路523号,15618308897,"121.211681,31.252886",上海
叉车培训(电工电焊),宝安公路2436号加油站东边20米,13817979808,"121.333393,31.347162",上海
叉车培训考证,北松公路497号,15901859294,"121.401733,31.039754",上海
叉车培训办证,奉城镇团青公路箱包城1642号,15900749790,"121.637389,30.922589",上海
上海启航叉车出租公司,祝桥镇金亭路187号,暂无电话,"121.757743,31.109611",上海
精英叉车培训(张堰分部),松金公路丽水港湾对面,13761270550,"121.291155,30.806863",上海
叉车培训,亭卫公路9700号,17511630861,"121.327493,30.888620",上海
通雅叉车培训,平庄东路885号,18360513782,"121.758737,30.907463",上海
叉车培训(如依时代广场西),车墩镇北松公路5178弄17号,021-37822851,"121.303920,31.013923",上海
上海岑诺特种作业技能培训,华新镇华腾路1218号37栋502室电工证焊工证 登高证叉车证培训,18217658918,"121.217792,31.236735",上海
叉车培训,前曹公路264号,18321757329,"121.306894,31.437125",上海
上海叉车培训,亭林镇南亭公路6282-1号亭林消防站对面,15001933928;15216679134,"121.323447,30.881999",上海
上海东弘叉车培训,沈家宅175-2江东路如海超市路口进来20米,13764681703,"121.556705,31.356378",上海
叉车培训,申江南路5101号(石头劳务隔壁),13122723928,"121.646776,31.071754",上海
叉车培训,安中路1-1号,13795373318,"121.401287,30.957666",上海
上海瑾瑄叉车培训有限公司,施湾镇施新路679号,18017730789,"121.754128,31.147482",上海
叉车培训审证出租,泰顺路26号,15618100250;17621683766,"121.220887,31.316258",上海
集裕叉车培训,顾曹公路209号,暂无电话,"121.661518,31.297990",上海
叉车培训,顾曹公路356号,15000228496;15000754552,"121.662725,31.295775",上海
叉车培训,川六公路2736号,13524944066,"121.748181,31.160181",上海
叉车培训,嘉唐公路1208号,13564189340,"121.216048,31.425330",上海
叉车电焊培训,桃浦镇真南路3441号,13671961702;15902109903,"121.343173,31.291750",上海
叉车培训(嘉定区徐行粮油管理所东北),徐行镇前曹公路89号,13524711102,"121.307584,31.433320",上海
叉车培训出租,车墩镇北松公路4901号,13761417114,"121.310507,31.014070",上海
叉车考证培训,四平公路1387号消防站旁边,18202129988,"121.732029,30.897397",上海
叉车培训办证审证,镇书院镇新府路25号,13661589004,"121.868184,30.982785",上海
华兴叉车电焊技能培训,亭林镇南亭公路6779弄16号103室,13788984508,"121.318804,30.879166",上海
钱润叉车培训,金钱公路341号,13761632186,"121.498880,30.990718",上海
上海叉车培训学校,青赵公路5566号,15599093627,"121.091079,31.216089",上海
上海安达叉车培训,金山卫镇板桥西路金卫村1113号,13816066878,"121.329563,30.729541",上海
叉车电焊培训(彭封路店),马陆镇彭封路148号,13564226898,"121.283872,31.346708",上海
职安教育叉车培训,平福路与安泰路路交叉口向西100米(1097号),13002118879;13795373318,"121.726175,30.897628",上海
叉车培训,竹亭南路589-591号,18721839662,"121.275258,30.937985",上海
