名称,省份,城市,区县,详细地址,完整地址,电话,经纬度
温州市龙湾区蓝江职业培训学校,浙江省,温州市,龙湾区,文化用品市场C幢3楼,浙江省温州市龙湾区文化用品市场C幢3楼,13587898914,"120.734525,27.971975"
宁波俊豪叉车挖机电工焊工培训考证复审,浙江省,宁波市,镇海区,骆驼兴骆西路49号,浙江省宁波市镇海区骆驼兴骆西路49号,15867552909,"121.585154,29.988292"
信诚叉车培训基地,浙江省,嘉兴市,秀洲区,新塍镇陈家浜X303,浙江省嘉兴市秀洲区新塍镇陈家浜X303,暂无电话,"120.601441,30.771909"
衢州市安特职业技能培训学校(叉车培训),浙江省,衢州市,柯城区,世纪大道与凯旋东路交叉口西140米,浙江省衢州市柯城区世纪大道与凯旋东路交叉口西140米,0570-8077118;15657018989,"118.930325,28.939575"
汇龙技校(叉车培训),浙江省,湖州市,长兴县,画溪街道雉州大道179号画溪智慧创业谷4楼,浙江省湖州市长兴县画溪街道雉州大道179号画溪智慧创业谷4楼,15088305998;15906720110,"119.915407,30.981119"
慈溪叉车电工培训,浙江省,宁波市,慈溪市,崇寿镇永清北路44号,浙江省宁波市慈溪市崇寿镇永清北路44号,18957886139,"121.271005,30.272998"
台州叉车培训电工电焊起重考证博通技能培训,浙江省,台州市,路桥区,东路桥大道601-8号,浙江省台州市路桥区东路桥大道601-8号,15067665003,"121.393302,28.583201"
义乌市叉车电焊培训中心报名处,浙江省,金华市,义乌市,四季小区78栋5单元,浙江省金华市义乌市四季小区78栋5单元,19857937016,"120.042622,29.317945"
顺兴叉车培训,浙江省,宁波市,慈溪市,前湾新区启迪路88号B1-4-111号,浙江省宁波市慈溪市前湾新区启迪路88号B1-4-111号,13958302341,"121.296437,30.344109"
昊远叉车培训(瓜沥店),浙江省,杭州市,萧山区,瓜沥镇光华路243-245号汇锦名店广场26栋,浙江省杭州市萧山区瓜沥镇光华路243-245号汇锦名店广场26栋,13372503330,"120.456286,30.187152"
